Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Cionel Pérez,37.0,29.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,perezci01
Dietrich Enns*,38.0,34.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ennsdi01
Seranthony Domínguez,39.0,30.0,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,dominse01
Yennier Cano,40.0,31.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,canoye01
Matt Bowman,41.0,34.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bowmama01
Félix Bautista,42.0,30.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bautife01
Bryan Baker,43.0,30.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bakerbr01
Keegan Akin*,44.0,30.0,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,akinke01
Team Totals,,,,13.7,162,6020,5416,677,1273,251,19,191,643,121,37,484,1457,0.235,0.305,0.394,0.699,96.0,0.309,96.0,2135,102,75,4,41,14,,,-9999
Danny Jansen,1.0,30.0,C,2.1,73,259,221,28,45,8,0,11,29,0,0,33,68,0.204,0.314,0.389,0.703,96.0,0.312,98.0,86,4,3,1,1,0,2/H,,janseda01
Jonathan Aranda*,2.0,27.0,1B,3.5,106,422,370,56,117,22,0,14,59,0,2,41,107,0.316,0.393,0.489,0.883,146.0,0.377,147.0,181,9,8,0,3,3,3DH,AS,arandjo01
Brandon Lowe*,3.0,30.0,2B,1.9,134,553,507,79,130,19,0,31,83,3,2,38,149,0.256,0.307,0.477,0.785,116.0,0.337,117.0,242,6,2,0,6,1,*4/DH3,AS,lowebr01
Taylor Walls#,4.0,28.0,SS,2.6,101,317,282,36,62,14,1,4,38,14,6,26,70,0.22,0.28,0.319,0.599,68.0,0.269,66.0,90,1,0,3,6,0,6/H45D,,wallsta01
Junior Caminero,5.0,21.0,3B,4.4,154,653,602,93,159,28,0,45,110,7,1,41,125,0.264,0.311,0.535,0.846,131.0,0.366,136.0,322,31,3,0,7,1,*5/DH3,ASMVP-9,caminju01
Christopher Morel,6.0,26.0,LF,-0.3,105,305,278,37,61,16,0,11,33,7,2,25,109,0.219,0.289,0.396,0.684,90.0,0.306,92.0,110,8,2,0,0,0,7HD/94,,morelch01
Chandler Simpson*,7.0,24.0,CF,0.4,109,441,414,53,122,15,3,0,26,44,12,20,43,0.295,0.326,0.345,0.671,89.0,0.306,86.0,143,10,0,3,2,0,87/HD9,ROY-13,simpsch01
Josh Lowe*,8.0,27.0,RF,0.1,108,435,396,56,87,21,2,11,40,18,4,33,109,0.22,0.283,0.366,0.65,81.0,0.289,77.0,145,7,3,1,2,1,9/HD,,lowejo01
Yandy Díaz,9.0,33.0,DH,3.4,150,651,583,79,175,29,1,25,83,3,1,57,92,0.3,0.366,0.482,0.848,136.0,0.364,136.0,281,12,6,0,5,4,*D3,MVP-18,diazya01
Jake Mangum#,10.0,29.0,OF,1.6,118,428,405,37,120,18,1,3,40,27,6,19,64,0.296,0.33,0.368,0.698,96.0,0.313,93.0,149,4,2,1,1,0,*789/HD,,manguja01
José Caballero,11.0,28.0,UT,1.8,86,275,235,37,53,12,1,2,27,34,8,33,80,0.226,0.327,0.311,0.638,81.0,0.309,85.0,73,1,3,3,1,0,6594H/78D1,,cabaljo01
Kameron Misner*,12.0,27.0,CF,0.7,71,217,197,27,42,9,1,5,22,8,1,16,69,0.213,0.273,0.345,0.618,72.0,0.279,69.0,68,1,1,1,2,0,89/7HD,,misneka01
Curtis Mead,13.0,24.0,IF,0.4,49,132,115,14,26,2,1,3,8,4,1,12,33,0.226,0.318,0.339,0.657,85.0,0.304,90.0,39,4,4,0,1,0,34H/5D,,meadcu01
Carson Williams,14.0,22.0,SS,-0.2,32,106,99,11,17,3,0,5,12,2,1,6,44,0.172,0.219,0.354,0.573,57.0,0.252,54.0,35,3,0,1,0,0,6/H,,willica02
Hunter Feduccia*,15.0,28.0,C,-0.5,36,102,86,5,13,5,0,0,8,1,0,14,28,0.151,0.265,0.209,0.474,36.0,0.227,34.0,18,0,0,0,2,0,2/HD,,feduchu01
Nick Fortes,16.0,28.0,C,0.3,38,101,89,8,19,3,0,3,11,1,0,7,25,0.213,0.307,0.348,0.655,84.0,0.313,97.0,31,3,5,0,0,0,2/HD,,forteni01
Ha-Seong Kim,17.0,29.0,SS,0.1,24,93,84,5,18,3,0,2,5,6,1,8,23,0.214,0.29,0.321,0.612,72.0,0.283,69.0,27,0,1,0,0,0,4-Jun,,kimha01
Tristan Gray*,18.0,29.0,IF,0.2,30,86,78,9,18,5,0,3,9,0,0,6,19,0.231,0.282,0.41,0.693,91.0,0.296,86.0,32,0,0,1,1,0,4/635H,,graytr01
Bob Seymour*,19.0,26.0,1B,-0.1,26,83,78,9,16,1,1,1,5,1,0,4,32,0.205,0.253,0.282,0.535,50.0,0.25,51.0,22,0,1,0,0,0,3/DH,,seymobo01
Matt Thaiss*,20.0,30.0,C,0.1,25,80,71,5,16,2,1,0,8,0,0,6,25,0.225,0.304,0.282,0.585,66.0,0.265,63.0,20,0,2,1,0,0,2/3H,,thaisma01
Everson Pereira,21.0,24.0,CF,-0.3,23,73,65,7,9,1,0,2,8,2,0,7,28,0.138,0.219,0.246,0.465,31.0,0.227,32.0,16,2,0,0,1,0,8/H9,,pereiev01
Ben Rortvedt*,22.0,27.0,C,-0.5,26,70,63,2,6,1,0,0,6,0,0,7,14,0.095,0.186,0.111,0.297,-13.0,0.163,-11.0,7,0,0,0,0,0,2,,rortvbe01
